Names;Mesure0;Mesure1;Mesure2;Mesure3;Mesure4;Mesure5;Mesure6;Mesure7;Mesure8;Mesure9
LYCEE BLAISE CENDRARS (GENERAL ET TECHNO.);2012;32;64;61;59;231;59;77;80;195
LYCEE AUGUSTE BLANQUI (GENERAL ET TECHNO.);2012;46;42;59;65;212;48;74;59;185
LYCEE CHARLES DE GAULLE;2012;31;57;62;39;189;81;79;74;148
LYCEE MARX DORMOY;2012;23;26;43;46;138;83;85;65;127
LYCEE MAURICE UTRILLO;2012;22;75;69;108;274;82;81;81;190
LYCEE THIERRY MAULNIER;2012;41;97;147;101;407;90;94;93;404
LYCEE HENRI MATISSE;2012;23;102;123;55;328;96;93;95;357
LYCEE PIERRE ET MARIE CURIE;2012;35;50;71;75;231;83;96;93;270
LYCEE STANISLAS;2012;18;51;86;21;176;100;100;100;175
LYCEE DU GOLFE DE SAINT TROPEZ (GENERAL ET TECHNO.);2012;29;89;106;73;297;79;94;92;301
LYCEE DU COUDON;2012;104;129;118;73;424;90;87;98;444
LYCEE NOTRE DAME DE LA PROVIDENCE;2012;17;53;77;60;207;100;100;100;206
LYCEE JEAN DE PANGE;2012;50;84;159;107;400;90;98;89;396
LYCEE JEAN-VICTOR PONCELET;2012;52;113;148;102;415;94;96;93;374
LYCEE LA COLINIERE;2012;95;126;175;106;557;91;93;93;535
LYCEE ST FELIX;2012;13;35;29;110;187;92;97;90;74
LYCEE ALBERT EINSTEIN (GENERAL ET TECHNO.);2012;44;60;151;76;422;82;90;91;375
LYCEE BELLEVUE;2012;60;82;160;103;464;88;93;91;423
LYCEE GEORGES POMPIDOU (GENERAL ET TECHNO.);2012;34;92;140;99;365;94;95;96;387
LYCEE PIERRE BROSSOLETTE;2012;28;58;105;107;298;54;76;78;247
LYCEE SAINT LOUIS (GENERAL ET TECHNO.);2012;6;12;17;26;61;83;83;94;65
LYCEE LOUIS MAJORELLE;2012;18;59;126;60;283;89;93;87;279
LYCEE SAINTE ANNE;2012;4;7;8;14;61;100;100;88;86
LYCEE JACQUES MARQUETTE;2012;23;61;94;60;238;96;92;89;249
LYCEE JULES GUESDE (GENERAL ET TECHNO.);2012;33;43;66;64;206;82;72;77;240
LYCEE FREDERIC CHOPIN;2012;59;83;90;78;310;90;82;91;334
LYCEE TEYSSIER;2012;13;57;71;32;173;92;98;96;176
LYCEE PARC CHABRIERES;2012;24;45;53;46;202;83;87;92;230
LYCEE FRANCOIS MANSART (GENERAL ET TECHNO.);2012;12;9;53;20;94;100;100;98;98
LYCEE SAINT JUST;2012;83;106;270;45;504;92;94;97;453
LYCEE COLBERT;2012;16;19;19;56;110;94;63;74;121
LYCEE CLAUDE LEBOIS;2012;22;39;79;38;195;91;74;91;206
LYCEE LOUIS ARAGON;2012;52;48;114;44;313;83;85;93;339
LYCEE JEAN MONNET;2012;25;48;42;25;140;60;85;90;127
LYCEE LACASSAGNE;2012;23;53;66;32;174;78;91;80;163
LYCEE CHEVROLLIER;2012;31;48;114;114;451;100;88;91;498
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.);2012;12;34;56;37;160;75;85;95;184
LYCEE STE MARIE (GENERAL ET TECHNO.);2012;5;13;35;17;126;100;100;97;149
LYCEE ANDRE MALRAUX;2012;18;49;47;42;222;89;96;96;232
LYCEE ANTOINE DE SAINT EXUPERY (GENERAL ET TECHNO.);2012;41;71;138;122;372;90;93;93;370
LYCEE MARGUERITE DE NAVARRE;2012;50;103;156;61;370;98;97;96;347
LYCEE SAINT FRANCOIS DE SALES (GENERAL ET TECHNO.);2012;6;13;22;18;66;100;92;100;80
LYCEE ALEXANDRA DAVID NEEL;2012;49;30;32;35;215;90;93;88;217
LYCEE EMILE ZOLA;2012;43;57;120;98;370;86;89;89;443
LYCEE VICTOR HUGO;2012;30;60;72;85;272;67;73;75;274
LYCEE LE SACRE COEUR;2012;4;13;16;11;44;100;100;100;28
LYCEE CARNOT (GENERAL ET TECHNO.);2012;15;50;74;77;306;67;90;82;393
LYCEE PABLO PICASSO (GENERAL ET TECHNO.);2012;9;17;25;30;81;89;76;80;85
LYCEE EMILE ZOLA (GENERAL ET TECHNO.);2012;25;23;37;35;120;84;70;84;117
LYCEE ROBESPIERRE;2012;22;76;145;32;275;95;95;97;302
LYCEE PORTES DE L'OISANS;2012;24;55;82;43;242;100;95;99;287
LYCEE NOTRE DAME DES VICTOIRES;2012;10;22;41;22;141;100;100;93;157
LYCEE GERVILLE REACHE;2012;78;96;116;84;405;72;86;85;382
LYCEE JEANNE D'ARC;2012;4;23;20;32;79;75;91;90;71
LYCEE HENRI PARRIAT;2012;37;78;93;46;278;92;92;80;253
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.);2012;27;31;66;62;215;89;84;82;137
LYCEE HENRI VINCENOT (GENERAL ET TECHNO.);2012;19;21;54;31;125;89;90;96;124
LYCEE E.J. MAREY (GENERAL ET TECHNO.);2012;21;42;41;38;142;86;98;93;145
LYCEE STEPHEN LIEGEARD;2012;15;50;68;37;170;100;100;96;207
LYCEE MONTCHAPET;2012;49;91;103;78;321;94;96;93;324
LYCEE SAINT DENIS;2012;23;43;80;33;242;100;98;99;308
LYCEE LOUIS DAVIER (GENERAL ET TECHNO.);2012;21;58;82;46;228;90;84;98;228
LYCEE JULES FROMENT;2012;18;37;50;38;184;89;81;98;213
